image_id,question,answer,data_type,candidates,hallucination_candidates,token_2_visual_evidence,image_source
000000413552,Is the person holding the child helping them brush their teeth with the toothbrush?,"Yes, the person holding the child is helping them brush their teeth with the toothbrush.",vqa_halu_llava,"['person', 'holding', 'child']","['yes', 'helping', 'brush', 'teeth', 'toothbrush']","[{'word': 'person', 'class': 'object', 'bb_info': [[93.09, 29.92, 425.56000000000006, 571.8399999999999], [0.0, 0.0, 426.0, 640.0]]}, {'word': 'holding', 'class': 'action', 'bb_info': [[93.09, 29.92, 425.56000000000006, 571.8399999999999], [0.0, 0.0, 426.0, 640.0]]}, {'word': 'child', 'class': 'object', 'bb_info': []}]",coco-validation
000000193884,What is the speed limit posted on the sign next to the stop sign?,The speed limit posted on the sign next to the stop sign is 25 mph.,vqa_halu_llava,['stop'],"['speed', 'limit', 'posted', 'sign', 'next', '25', 'mph']","[{'word': 'stop', 'class': 'object', 'bb_info': [[376.07, 118.57, 438.78999999999996, 178.68]]}]",coco-validation
000000140270,Describe the actions of the person on the horse.,"The person is riding the horse at a controlled pace, likely performing a dressage movement or trotting along a marked path in an outdoor arena. They maintain an upright posture and appear focused, guiding the horse with subtle rein cues and body position. The horse is moving with collected energy, showing rhythm and balance, suggesting training and discipline.",instruct_nonhalu_qwen,"['person', 'riding', 'horse', 'movement', 'trotting', 'marked', 'path', 'outdoor', 'arena', 'upright', 'posture', 'guiding', 'rein', 'body', 'position', 'moving', 'balance']","['controlled', 'pace', 'dressage', 'focused', 'subtle', 'cues', 'collected', 'energy', 'rhythm', 'training', 'discipline']","[{'word': 'person', 'class': 'object', 'bb_info': [[291.88, 61.56, 351.52, 223.19]]}, {'word': 'riding', 'class': 'action', 'bb_info': [[291.88, 61.56, 351.52, 223.19], [213.41, 136.39, 491.55999999999995, 303.53]]}, {'word': 'horse', 'class': 'object', 'bb_info': [[213.41, 136.39, 491.55999999999995, 303.53]]}, {'word': 'movement', 'class': 'action', 'bb_info': [[291.88, 61.56, 351.52, 223.19], [213.41, 136.39, 491.55999999999995, 303.53]]}, {'word': 'trotting', 'class': 'action', 'bb_info': [[291.88, 61.56, 351.52, 223.19], [213.41, 136.39, 491.55999999999995, 303.53]]}, {'word': 'marked', 'class': 'attribute', 'bb_info': []}, {'word': 'path', 'class': 'object', 'bb_info': []}, {'word': 'outdoor', 'class': 'attribute', 'bb_info': []}, {'word': 'arena', 'class': 'object', 'bb_info': []}, {'word': 'upright', 'class': 'attribute', 'bb_info': [[291.88, 61.56, 351.52, 223.19]]}, {'word': 'posture', 'class': 'attribute', 'bb_info': [[291.88, 61.56, 351.52, 223.19]]}, {'word': 'guiding', 'class': 'action', 'bb_info': [[291.88, 61.56, 351.52, 223.19], [213.41, 136.39, 491.55999999999995, 303.53]]}, {'word': 'rein', 'class': 'object', 'bb_info': []}, {'word': 'body', 'class': 'object', 'bb_info': [[291.88, 61.56, 351.52, 223.19]]}, {'word': 'position', 'class': 'attribute', 'bb_info': [[291.88, 61.56, 351.52, 223.19]]}, {'word': 'moving', 'class': 'action', 'bb_info': [[213.41, 136.39, 491.55999999999995, 303.53]]}, {'word': 'balance', 'class': 'attribute', 'bb_info': [[213.41, 136.39, 491.55999999999995, 303.53]]}]",coco-validation
000000404923,What’s going on visually?,"In the image, a baseball player is standing on a field, holding a baseball bat and preparing to swing. The player is wearing a baseball uniform, which includes a hat and a jersey. The scene captures the player's focus and determination as he gets ready to hit the ball.",caption_nonhalu_llava,"['baseball', 'player', 'standing', 'on', 'field', 'holding', 'bat', 'preparing', 'wearing', 'uniform', 'hat', 'jersey', 'scene']","['swing', 'focus', 'determination', 'hit', 'ball']","[{'word': 'baseball', 'class': 'object', 'bb_info': []}, {'word': 'player', 'class': 'object', 'bb_info': [[195.68, 106.25, 364.32, 475.14], [354.88, 0.0, 401.26, 67.96], [590.72, 108.29, 639.11, 326.05], [504.58, 0.73, 528.38, 17.57]]}, {'word': 'standing', 'class': 'action', 'bb_info': [[195.68, 106.25, 364.32, 475.14], [354.88, 0.0, 401.26, 67.96], [590.72, 108.29, 639.11, 326.05], [504.58, 0.73, 528.38, 17.57]]}, {'word': 'on', 'class': 'relation', 'bb_info': [[195.68, 106.25, 364.32, 475.14], [354.88, 0.0, 401.26, 67.96], [590.72, 108.29, 639.11, 326.05], [504.58, 0.73, 528.38, 17.57]]}, {'word': 'field', 'class': 'object', 'bb_info': []}, {'word': 'holding', 'class': 'action', 'bb_info': [[195.68, 106.25, 364.32, 475.14], [354.88, 0.0, 401.26, 67.96], [590.72, 108.29, 639.11, 326.05], [504.58, 0.73, 528.38, 17.57], [186.31, 85.03, 321.06, 180.34]]}, {'word': 'bat', 'class': 'object', 'bb_info': [[186.31, 85.03, 321.06, 180.34]]}, {'word': 'preparing', 'class': 'action', 'bb_info': [[195.68, 106.25, 364.32, 475.14], [354.88, 0.0, 401.26, 67.96], [590.72, 108.29, 639.11, 326.05], [504.58, 0.73, 528.38, 17.57]]}, {'word': 'wearing', 'class': 'action', 'bb_info': [[195.68, 106.25, 364.32, 475.14], [354.88, 0.0, 401.26, 67.96], [590.72, 108.29, 639.11, 326.05], [504.58, 0.73, 528.38, 17.57]]}, {'word': 'uniform', 'class': 'object', 'bb_info': []}, {'word': 'hat', 'class': 'object', 'bb_info': []}, {'word': 'jersey', 'class': 'object', 'bb_info': []}, {'word': 'scene', 'class': 'object', 'bb_info': []}]",coco-validation
000000356968,What color is the horse?,The horse is brown.,vqa_nonhalu_llava,"['horse', 'brown']",[],"[{'word': 'horse', 'class': 'object', 'bb_info': [[0.0, 115.02, 558.28, 447.72999999999996]]}, {'word': 'brown', 'class': 'attribute', 'bb_info': [[0.0, 115.02, 558.28, 447.72999999999996]]}]",coco-validation
000000135670,Describe the relationship between the two bicycles and explain how their positions affect passenger movement in the train.,"In the image, there are two bicycles parked in the train. One bicycle is leaning against the train door, while the other is placed on the floor. The bicycle leaning against the door is likely parked by a passenger who wants to keep it close to the door for easy access when they disembark. The bicycle on the floor, however, is parked by a passenger who might not need it as frequently or wants to keep it out of the way of other passengers.

Their positions affect passenger movement in the train by providing designated spaces for bicycles. The bicycle leaning against the door allows passengers to easily access their bikes when they need them, while the bicycle on the floor is out of the way, making it less obstructive to other passengers. This arrangement helps maintain a comfortable and organized environment for all passengers on the train.",instruct_halu_llava,"['image', 'bicycle', 'parked', 'train', 'one', 'door', 'spaces']","['two', 'leaning', 'against', 'other', 'placed', 'floor', 'passenger', 'disembark', 'movement', 'access', 'obstructive', 'comfortable', 'organized', 'environment']","[{'word': 'image', 'class': 'object', 'bb_info': []}, {'word': 'bicycle', 'class': 'object', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'parked', 'class': 'action', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'train', 'class': 'object', 'bb_info': []}, {'word': 'one', 'class': 'count', 'bb_info': [[196.77, 199.69, 301.83000000000004, 373.27]]}, {'word': 'door', 'class': 'object', 'bb_info': []}, {'word': 'spaces', 'class': 'object', 'bb_info': []}]",coco-validation
000000304365,What is the person carrying in their hand?,The person is carrying a black bag in their hand.,vqa_nonhalu_qwen,"['person', 'carrying', 'black', 'bag', 'hand']",[],"[{'word': 'person', 'class': 'object', 'bb_info': [[449.3, 309.21, 477.58000000000004, 364.78999999999996]]}, {'word': 'carrying', 'class': 'action', 'bb_info': [[449.3, 309.21, 477.58000000000004, 364.78999999999996], [445.39, 338.46, 456.46, 355.51]]}, {'word': 'black', 'class': 'attribute', 'bb_info': [[445.39, 338.46, 456.46, 355.51]]}, {'word': 'bag', 'class': 'object', 'bb_info': [[445.39, 338.46, 456.46, 355.51]]}, {'word': 'hand', 'class': 'object', 'bb_info': [[449.3, 309.21, 477.58000000000004, 364.78999999999996]]}]",coco-validation
000000492282,What is the approximate color of the horse being ridden by the person in the black hat?,The horse being ridden by the person in the black hat is dark brown.,vqa_nonhalu_qwen,"['horse', 'ridden', 'person', 'black', 'hat', 'dark', 'brown']",[],"[{'word': 'horse', 'class': 'object', 'bb_info': [[42.16, 344.14, 289.81, 535.81], [22.54, 359.54, 141.85999999999999, 511.66], [317.44, 304.99, 470.4, 487.20000000000005], [424.12, 317.29, 479.45, 420.45000000000005], [292.74, 325.87, 339.87, 387.98]]}, {'word': 'ridden', 'class': 'action', 'bb_info': [[42.16, 344.14, 289.81, 535.81], [22.54, 359.54, 141.85999999999999, 511.66], [317.44, 304.99, 470.4, 487.20000000000005], [424.12, 317.29, 479.45, 420.45000000000005], [292.74, 325.87, 339.87, 387.98], [158.93, 230.65, 231.95, 422.51], [365.98, 263.68, 398.61, 328.11], [380.38, 270.51, 429.15999999999997, 408.07], [0.0, 262.21, 47.67, 442.79999999999995]]}, {'word': 'person', 'class': 'object', 'bb_info': [[158.93, 230.65, 231.95, 422.51], [365.98, 263.68, 398.61, 328.11], [380.38, 270.51, 429.15999999999997, 408.07], [0.0, 262.21, 47.67, 442.79999999999995]]}, {'word': 'black', 'class': 'attribute', 'bb_info': [[158.93, 230.65, 231.95, 422.51], [365.98, 263.68, 398.61, 328.11], [380.38, 270.51, 429.15999999999997, 408.07], [0.0, 262.21, 47.67, 442.79999999999995]]}, {'word': 'hat', 'class': 'object', 'bb_info': []}, {'word': 'dark', 'class': 'attribute', 'bb_info': [[42.16, 344.14, 289.81, 535.81], [22.54, 359.54, 141.85999999999999, 511.66], [317.44, 304.99, 470.4, 487.20000000000005], [424.12, 317.29, 479.45, 420.45000000000005], [292.74, 325.87, 339.87, 387.98]]}, {'word': 'brown', 'class': 'attribute', 'bb_info': [[42.16, 344.14, 289.81, 535.81], [22.54, 359.54, 141.85999999999999, 511.66], [317.44, 304.99, 470.4, 487.20000000000005], [424.12, 317.29, 479.45, 420.45000000000005], [292.74, 325.87, 339.87, 387.98]]}]",coco-validation
000000522940,Describe the color and shape of the stop sign.,"The stop sign is red and has a four-way shape, indicating that it is meant for four-way traffic.",instruct_nonhalu_llava,"['stop', 'sign', 'red', 'shape', 'traffic']",['four-way'],"[{'word': 'stop', 'class': 'object', 'bb_info': [[8.59, 17.39, 367.96, 383.91999999999996]]}, {'word': 'sign', 'class': 'object', 'bb_info': [[8.59, 17.39, 367.96, 383.91999999999996]]}, {'word': 'red', 'class': 'attribute', 'bb_info': [[8.59, 17.39, 367.96, 383.91999999999996]]}, {'word': 'shape', 'class': 'attribute', 'bb_info': [[8.59, 17.39, 367.96, 383.91999999999996]]}, {'word': 'traffic', 'class': 'object', 'bb_info': []}]",coco-validation
000000261318,What is the person holding to their ear?,phone,vqa_nonhalu_qwen,['phone'],[],"[{'word': 'phone', 'class': 'object', 'bb_info': [[172.4, 218.48, 200.08, 264.16999999999996]]}]",coco-validation
000000301376,Scan the people in the image for any handbags they might be carrying.,"In the image, there are several people walking on the sidewalk. Among them, one person is carrying a handbag.",instruct_nonhalu_llava,"['people', 'walking', 'sidewalk', 'several']","['handbag', 'one', 'carrying']","[{'word': 'people', 'class': 'object', 'bb_info': [[290.19, 366.87, 331.32, 443.19], [182.14, 357.47, 204.26999999999998, 409.52000000000004], [207.87, 366.29, 216.85, 404.49], [196.91, 359.32, 207.9, 405.35]]}, {'word': 'walking', 'class': 'action', 'bb_info': [[290.19, 366.87, 331.32, 443.19], [182.14, 357.47, 204.26999999999998, 409.52000000000004], [207.87, 366.29, 216.85, 404.49], [196.91, 359.32, 207.9, 405.35]]}, {'word': 'sidewalk', 'class': 'object', 'bb_info': []}, {'word': 'several', 'class': 'count', 'bb_info': [[290.19, 366.87, 331.32, 443.19], [182.14, 357.47, 204.26999999999998, 409.52000000000004], [207.87, 366.29, 216.85, 404.49], [196.91, 359.32, 207.9, 405.35]]}]",coco-validation
000000474293,Is the person carrying a shopping bag filled with teddy bears?,"Yes, the person is carrying a shopping bag filled with teddy bears.",vqa_halu_llava,"['person', 'carrying', 'bag']","['yes', 'shopping', 'filled', 'teddy', 'bears']","[{'word': 'person', 'class': 'object', 'bb_info': [[526.62, 249.01, 637.46, 479.64]]}, {'word': 'carrying', 'class': 'action', 'bb_info': [[526.62, 249.01, 637.46, 479.64], [555.94, 288.26, 623.6600000000001, 371.78]]}, {'word': 'bag', 'class': 'object', 'bb_info': [[555.94, 288.26, 623.6600000000001, 371.78]]}]",coco-validation
000000383337,Are there more donuts in the box or the clear container?,There are more donuts in the clear container than in the box.,vqa_nonhalu_llava,"['donuts', 'clear', 'container', 'box']",['more'],"[{'word': 'donuts', 'class': 'object', 'bb_info': [[83.23, 385.29, 199.18, 448.24], [76.31, 361.35, 197.74, 436.76], [223.28, 353.8, 280.45, 384.0], [356.37, 298.85, 413.03, 331.90000000000003], [335.83, 325.68, 430.63, 363.83], [441.12, 213.43, 546.75, 295.82], [494.03, 183.47, 605.04, 270.32], [279.46, 323.24, 309.31, 355.25]]}, {'word': 'clear', 'class': 'attribute', 'bb_info': []}, {'word': 'container', 'class': 'object', 'bb_info': []}, {'word': 'box', 'class': 'object', 'bb_info': []}]",coco-validation
000000129054,Are the zebras gathered around a small watering hole in the center of the herd?,"Yes, the zebras are gathered around a small watering hole in the center of the herd.",vqa_halu_llava,"['zebras', 'herd']","['yes', 'gathered', 'around', 'small', 'watering', 'hole', 'in', 'center']","[{'word': 'zebras', 'class': 'object', 'bb_info': [[422.28, 199.97, 448.91999999999996, 253.2], [361.14, 196.78, 411.48, 232.49], [308.6, 191.18, 344.09000000000003, 237.32], [384.13, 199.38, 428.88, 253.67], [254.0, 193.72, 296.90999999999997, 239.2], [196.98, 193.3, 226.35, 243.27], [176.02, 197.7, 196.69, 225.37], [141.97, 191.77, 162.16, 243.91000000000003], [335.8, 199.77, 387.48, 233.18], [294.29, 197.5, 320.73, 235.2], [74.67, 201.48, 124.22, 236.44], [191.25, 206.98, 201.39, 241.51999999999998], [130.5, 203.06, 145.04, 227.68]]}, {'word': 'herd', 'class': 'object', 'bb_info': [[422.28, 199.97, 448.91999999999996, 253.2], [361.14, 196.78, 411.48, 232.49], [308.6, 191.18, 344.09000000000003, 237.32], [384.13, 199.38, 428.88, 253.67], [254.0, 193.72, 296.90999999999997, 239.2], [196.98, 193.3, 226.35, 243.27], [176.02, 197.7, 196.69, 225.37], [141.97, 191.77, 162.16, 243.91000000000003], [335.8, 199.77, 387.48, 233.18], [294.29, 197.5, 320.73, 235.2], [74.67, 201.48, 124.22, 236.44], [191.25, 206.98, 201.39, 241.51999999999998], [130.5, 203.06, 145.04, 227.68]]}]",coco-validation
