question,answer,hallucination_candidates,candidates,image_id,question_id,image_path,data_type
What color is the snow?,White.,[],['white'],2387417,25479,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387417.jpg,vga
What color is the snow?,The snow is white.,[],"['snow', 'white']",2387417,25479,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2387417.jpg,vga
Are there either any women or boys?,"Yes, there is a woman.",[],"['yes', 'woman']",2397113,3969,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2397113.jpg,gqa
Are there either any women or boys?,"Yes, there is a woman and a boy in the image.",['boy'],"['yes', 'woman', 'image']",2397113,3969,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2397113.jpg,gqa
Is there a spoon above the napkin on the left?,"No, there is a fork above the napkin.","['fork', 'above']","['no', 'napkin']",2315575,6703,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2315575.jpg,gqa
Is there a spoon above the napkin on the left?,"Yes, there is a spoon above the napkin on the left.","['yes', 'spoon', 'above', 'left']",['napkin'],2315575,6703,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2315575.jpg,gqa
Is there a bus in this picture that is not green?,yes,[],['yes'],2401111,16307,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2401111.jpg,gqa
Is there a bus in this picture that is not green?,"Yes, there is a red bus in the picture.",[],"['yes', 'red', 'bus', 'picture']",2401111,16307,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2401111.jpg,gqa
What color is the glider?,Red.,[],['red'],2317158,22456,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2317158.jpg,vga
What color is the glider?,The glider is red.,['glider'],['red'],2317158,22456,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2317158.jpg,vga
Are there any laptops in front of the man that is on the left?,"No, there is a wheelchair in front of the man.",['laptops'],"['no', 'wheelchair', 'front', 'man']",2410358,281,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2410358.jpg,gqa
Are there any laptops in front of the man that is on the left?,"No, there are no laptops in front of the man on the left.",['laptops'],"['no', 'man', 'left', 'front']",2410358,281,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2410358.jpg,gqa
Are there any trains in front of the building?,"Yes, there is a train in front of the building.",[],"['yes', 'train', 'front', 'building']",2388312,1601,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2388312.jpg,gqa
Are there any trains in front of the building?,"Yes, there is a train in front of the building.",[],"['yes', 'train', 'front', 'building']",2388312,1601,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2388312.jpg,gqa
Is the man to the left of a bag?,"Yes, the man is to the left of a bag.","['yes', 'left']","['man', 'bag']",713787,2574,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/713787.jpg,gqa
Is the man to the left of a bag?,"No, the man is not to the left of a bag. He is standing next to a truck.","['next', 'to']","['no', 'man', 'not', 'left', 'bag', 'standing', 'truck']",713787,2574,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/713787.jpg,gqa
Is the man wearing a helmet?,no,[],['no'],2345524,10113,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2345524.jpg,gqa
Is the man wearing a helmet?,"No, the man is not wearing a helmet. He is lying on a bed with a laptop.",['helmet'],"['no', 'man', 'not', 'wearing', 'lying', 'on', 'bed', 'with', 'laptop']",2345524,10113,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2345524.jpg,gqa
Is there either a melon or a tomato in the image?,no,[],['no'],2416562,13227,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2416562.jpg,gqa
Is there either a melon or a tomato in the image?,"No, there is no melon or tomato in the image. The image features a bowl filled with various fruits, including apples, oranges, and bananas.","['melon', 'tomato']","['no', 'bowl', 'filled', 'various', 'fruits', 'apples', 'oranges', 'bananas']",2416562,13227,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2416562.jpg,gqa
How is the weather?,Sunny.,[],['sunny'],2383940,23193,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2383940.jpg,vga
How is the weather?,"The weather appears to be sunny, as the man is surfing in the sun.","['weather', 'sun']","['sunny', 'man', 'surfing', 'appears', 'in']",2383940,23193,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2383940.jpg,vga
What shade is the street warning on the right?,The street warning is yellow.,[],"['street', 'warning', 'yellow']",2362100,24125,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2362100.jpg,vga
What shade is the street warning on the right?,The street warning on the right is red.,['red'],"['street', 'warning', 'right']",2362100,24125,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2362100.jpg,vga
Why are there tongs on the food?,The tongs are for people to grab the food with.,['grab'],"['tongs', 'people', 'food']",2355652,25353,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2355652.jpg,vga
Why are there tongs on the food?,"The tongs are placed on the food to serve it to the guests. In the image, there is a large tray filled with various vegetables, including broccoli, carrots, and celery. The tongs are used to pick up the vegetables and serve them to the people attending the event. This method of serving food is convenient and hygienic, as it allows guests to easily pick up and eat the vegetables without using their hands.","['serve', 'guests', 'carrots', 'attending', 'event', 'method', 'convenient', 'hygienic', 'allows', 'easily', 'eat', 'hands']","['tongs', 'placed', 'food', 'image', 'large', 'tray', 'filled', 'various', 'vegetables', 'broccoli', 'celery', 'used', 'pick', 'people']",2355652,25353,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2355652.jpg,vga
Was the image taken in the harbor?,"Yes, it was taken in the harbor.",[],"['yes', 'harbor']",2374950,1298,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2374950.jpg,gqa
Was the image taken in the harbor?,"Yes, the image was taken in the harbor, with a man standing on a dock.",['man'],"['yes', 'harbor', 'standing', 'dock']",2374950,1298,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2374950.jpg,gqa
Does the man's hair seem to be gray?,"No, the hair is dark.",[],"['no', 'hair', 'dark']",2331461,1458,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2331461.jpg,gqa
Does the man's hair seem to be gray?,"No, the man's hair does not seem to be gray. It appears to be dark brown.",[],"['no', 'man', 'hair', 'dark', 'brown']",2331461,1458,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2331461.jpg,gqa
Are the gray branches above a giraffe?,"Yes, the branches are above a giraffe.",[],"['yes', 'branches', 'above', 'giraffe']",2404008,3750,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2404008.jpg,gqa
Are the gray branches above a giraffe?,"Yes, the gray branches are above a giraffe, and the giraffe is standing underneath them.",['gray'],"['yes', 'branches', 'above', 'giraffe', 'standing', 'underneath']",2404008,3750,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2404008.jpg,gqa
Are there both a window and a door in the photo?,"Yes, there are both a window and a door.",[],"['yes', 'window', 'door']",2410486,5145,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2410486.jpg,gqa
Are there both a window and a door in the photo?,"Yes, there is a window and a door in the photo, and the door is open.",[],"['yes', 'window', 'door', 'open']",2410486,5145,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2410486.jpg,gqa
Are there either dogs or bears?,"Yes, there is a bear.",[],"['yes', 'bear']",2359921,5448,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2359921.jpg,gqa
Are there either dogs or bears?,"Yes, there is a teddy bear and a stuffed dog in the image.","['stuffed', 'dog']","['yes', 'teddy', 'bear']",2359921,5448,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2359921.jpg,gqa
Does the woman on the surf board wear a necklace?,"Yes, the woman wears a necklace.",[],"['yes', 'woman', 'wears', 'necklace']",2398356,8306,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2398356.jpg,gqa
Does the woman on the surf board wear a necklace?,"Yes, the woman on the surfboard is wearing a necklace.",[],"['yes', 'woman', 'on', 'surfboard', 'wearing', 'necklace']",2398356,8306,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2398356.jpg,gqa
Is the blue toothbrush to the right of the envelope?,"Yes, the toothbrush is to the right of the envelope.","['yes', 'toothbrush', 'right']",['envelope'],2337071,9253,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2337071.jpg,gqa
Is the blue toothbrush to the right of the envelope?,"Yes, the blue toothbrush is to the right of the envelope.","['yes', 'blue', 'toothbrush', 'right']",['envelope'],2337071,9253,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2337071.jpg,gqa
Are there men to the right of the racket?,"Yes, there is a man to the right of the racket.",[],"['yes', 'man', 'right', 'racket', 'a']",2320398,9876,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2320398.jpg,gqa
Are there men to the right of the racket?,"Yes, there are two men to the right of the racket.",['two'],"['yes', 'men', 'right', 'racket']",2320398,9876,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2320398.jpg,gqa
Do you see either any fences or surfboards?,yes,[],['yes'],2411616,11682,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2411616.jpg,gqa
Do you see either any fences or surfboards?,"Yes, there is a surfboard on top of the car.",[],"['yes', 'surfboard', 'on', 'top', 'car']",2411616,11682,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2411616.jpg,gqa
Does the frosting have purple color?,no,[],['no'],2351926,13999,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2351926.jpg,gqa
Does the frosting have purple color?,"Yes, the frosting on the cake has a purple color.","['yes', 'purple']","['frosting', 'cake', 'color']",2351926,13999,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2351926.jpg,gqa
Are both the ball that is to the left of the vegetable and the large pot green?,yes,['yes'],[],2350456,15589,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2350456.jpg,gqa
Are both the ball that is to the left of the vegetable and the large pot green?,"Yes, both the ball and the large pot are green.","['yes', 'pot', 'large']","['ball', 'green']",2350456,15589,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2350456.jpg,gqa
What color are the two people in the forefront wearing?,Black.,[],['black'],2407004,19431,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2407004.jpg,vga
What color are the two people in the forefront wearing?,The two people in the forefront are wearing black.,[],"['two', 'people', 'forefront', 'wearing', 'black']",2407004,19431,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2407004.jpg,vga
What kind of ceilings does the room have?,Really high.,['really'],['high'],2395557,22859,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2395557.jpg,vga
What kind of ceilings does the room have?,The room has high ceilings.,[],"['room', 'high', 'ceilings']",2395557,22859,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2395557.jpg,vga
Is the soccer ball to the right of the player in the center of the image?,"No, the soccer ball is to the left of the player.",[],"['no', 'soccer', 'ball', 'left', 'player']",2412679,6210,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2412679.jpg,gqa
Is the soccer ball to the right of the player in the center of the image?,"Yes, the soccer ball is to the right of the player in the center of the image.","['yes', 'right']","['soccer', 'ball', 'player', 'center', 'image']",2412679,6210,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2412679.jpg,gqa
Is the bag that is to the left of the cup made of paper?,no,[],['no'],2393920,13164,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2393920.jpg,gqa
Is the bag that is to the left of the cup made of paper?,"Yes, the bag that is to the left of the cup is made of paper.","['yes', 'paper']","['bag', 'left', 'cup']",2393920,13164,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2393920.jpg,gqa
Are there motorcycles or benches in the image?,no,"['motorcycles', 'benches']",['no'],2325268,16148,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2325268.jpg,gqa
Are there motorcycles or benches in the image?,"No, there are no motorcycles or benches in the image. The image features a car driving down the street.","['motorcycles', 'benches']","['no', 'car', 'driving', 'street']",2325268,16148,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2325268.jpg,gqa
Do you see any giraffes in front of the tall tree?,yes,[],['yes'],2409749,16701,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2409749.jpg,gqa
Do you see any giraffes in front of the tall tree?,"Yes, there are giraffes standing in front of the tall tree.",[],"['yes', 'giraffes', 'standing', 'front', 'tall', 'tree']",2409749,16701,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2409749.jpg,gqa
What is at the boy's feet?,A skateboard.,[],['skateboard'],2374492,22437,/Data2/Arun-UAV/NLP/vision_halu/visual_genome/VG_target_20k/2374492.jpg,vga
